"","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"1623","SPD",0.381443298969072,0.384615384615385,0.6,4.75,0.533333333333333,0.372881355932203,0.588235294117647,0.666666666666667,0.651515151515151,"H",1.3,5.5,9
"1624","SPD",0.536082474226804,0.230769230769231,0.8,7,0.575,0.423728813559322,0.627450980392157,0.560283687943262,0.393939393939394,"H",1.2,7,11
"1625","SPD",0.525773195876289,0.115384615384615,0.333333333333333,0.4,0.458333333333333,0.338983050847458,0.392156862745098,0.446808510638298,0.636363636363636,"A",6,4,1.53
"1626","SPD",0.43298969072165,0.192307692307692,0.4,0.882352941176471,0.491666666666667,0.389830508474576,0.392156862745098,0.340425531914894,0.515151515151515,"H",1.83,3.5,4.33
"1627","SPD",0.298969072164948,0.153846153846154,0.333333333333333,1.33333333333333,0.508333333333333,0.322033898305085,0.784313725490196,0.773049645390071,0.53030303030303,"H",1.57,3.6,6
"1628","SPD",0.54639175257732,0.346153846153846,0.733333333333333,0.3125,0.583333333333333,0.338983050847458,0.647058823529412,0.581560283687943,0.53030303030303,"A",2.3,3.4,3
"1629","SPD",0.216494845360825,0.153846153846154,0.266666666666667,1.33333333333333,0.425,0.23728813559322,0.490196078431373,0.787234042553192,0.696969696969697,"D",1.8,3.4,4.33
"1630","SPD",0.43298969072165,0.346153846153846,0.533333333333333,0.5,0.475,0.423728813559322,0.607843137254902,0.652482269503546,0.712121212121212,"D",2.75,3.2,2.5
"1631","SPD",0.628865979381443,0.423076923076923,0.6,0.25,0.633333333333333,0.474576271186441,0.470588235294118,0.602836879432624,0.424242424242424,"H",5.5,3.4,1.66
"1632","SPD",0.350515463917526,0.192307692307692,0.4,1.1,0.616666666666667,0.457627118644068,0.803921568627451,0.666666666666667,0.46969696969697,"A",1.8,3.3,4.5
"1633","SPD",0.412371134020619,0.230769230769231,0.466666666666667,0.9,0.491666666666667,0.271186440677966,0.274509803921569,0.730496453900709,0.651515151515151,"A",2.4,3.2,2.87
